"","time_conv","f_id_sens","f_id_bin","f_id_bin_rev"
"199",2007-04-20,0,1,0
"200",2007-04-21,0,1,0
"201",2007-04-22,0,1,0
"202",2007-04-23,0,1,0
"203",2007-04-24,0,1,0
"204",2007-04-25,0,1,0
"205",2007-04-26,0,1,0
"206",2007-04-27,0,1,0
"207",2007-04-28,0,1,0
"208",2007-04-29,0,1,0
"209",2007-04-30,0,1,0
"210",2007-05-01,0,1,0
"211",2007-05-02,0,1,0
"212",2007-05-03,0,1,0
"213",2007-05-04,0,1,0
"214",2007-05-05,0,1,0
"215",2007-05-06,84,0,1
"216",2007-05-07,4,1,0
"217",2007-05-08,0,1,0
"218",2007-05-09,72,1,0
"219",2007-05-10,0,1,0
"220",2007-05-11,0,1,0
"221",2007-05-12,0,1,0
"222",2007-05-13,0,1,0
"223",2007-05-14,0,1,0
"224",2007-05-15,92,0,1
"225",2007-05-16,4,1,0
"226",2007-05-17,0,1,0
"227",2007-05-18,30,1,0
"228",2007-05-19,0,1,0
"229",2007-05-20,0,1,0
"230",2007-05-21,0,1,0
"231",2007-05-22,0,1,0
"232",2007-05-23,0,1,0
"233",2007-05-24,0,1,0
"234",2007-05-25,0,1,0
"235",2007-05-26,0,1,0
"236",2007-05-27,0,1,0
"237",2007-05-28,0,1,0
"238",2007-05-29,24,1,0
"239",2007-05-30,8,1,0
"240",2007-05-31,0,1,0
"241",2007-06-01,0,1,0
"242",2007-06-02,0,1,0
"243",2007-06-03,0,1,0
"244",2007-06-04,0,1,0
"245",2007-06-05,0,1,0
"246",2007-06-06,0,1,0
"247",2007-06-07,0,1,0
"248",2007-06-08,0,1,0
"249",2007-06-09,0,1,0
"250",2007-06-10,0,1,0
"251",2007-06-11,0,1,0
"252",2007-06-12,0,1,0
"253",2007-06-13,0,1,0
"254",2007-06-14,0,1,0
"255",2007-06-15,0,1,0
"256",2007-06-16,0,1,0
"257",2007-06-17,0,1,0
"258",2007-06-18,0,1,0
"259",2007-06-19,0,1,0
"260",2007-06-20,0,1,0
"261",2007-06-21,0,1,0
"262",2007-06-22,0,1,0
"263",2007-06-23,0,1,0
"264",2007-06-24,0,1,0
"265",2007-06-25,0,1,0
"266",2007-06-26,50,1,0
"267",2007-06-27,2,1,0
"268",2007-06-28,0,1,0
"269",2007-06-29,0,1,0
"270",2007-06-30,0,1,0
"271",2007-07-01,0,1,0
"272",2007-07-02,0,1,0
"273",2007-07-03,0,1,0
"274",2007-07-04,44,1,0
"275",2007-07-05,44,1,0
"276",2007-07-06,0,1,0
"277",2007-07-07,0,1,0
"278",2007-07-08,0,1,0
"279",2007-07-09,4,1,0
"280",2007-07-10,46,1,0
"281",2007-07-11,0,1,0
"282",2007-07-12,0,1,0
"283",2007-07-13,0,1,0
"284",2007-07-14,0,1,0
"285",2007-07-15,0,1,0
"286",2007-07-16,0,1,0
"287",2007-07-17,0,1,0
"288",2007-07-18,0,1,0
"289",2007-07-19,0,1,0
"290",2007-07-20,0,1,0
"291",2007-07-21,0,1,0
"292",2007-07-22,0,1,0
"293",2007-07-23,0,1,0
"294",2007-07-24,72,1,0
"295",2007-07-25,6,1,0
"296",2007-07-26,0,1,0
"297",2007-07-27,0,1,0
"298",2007-07-28,24,1,0
"299",2007-07-29,0,1,0
"300",2007-07-30,186,0,1
"301",2007-07-31,0,1,0
"302",2007-08-01,0,1,0
"303",2007-08-02,0,1,0
"304",2007-08-03,54,1,0
"305",2007-08-04,0,1,0
"306",2007-08-05,0,1,0
"307",2007-08-06,0,1,0
"308",2007-08-07,0,1,0
"309",2007-08-08,0,1,0
"310",2007-08-09,0,1,0
"311",2007-08-10,10,1,0
"312",2007-08-11,0,1,0
"313",2007-08-12,0,1,0
"314",2007-08-13,0,1,0
"315",2007-08-14,0,1,0
"316",2007-08-15,0,1,0
"317",2007-08-16,0,1,0
"318",2007-08-17,8,1,0
"319",2007-08-18,0,1,0
"320",2007-08-19,0,1,0
"321",2007-08-20,0,1,0
"322",2007-08-21,0,1,0
"323",2007-08-22,0,1,0
"324",2007-08-23,0,1,0
"325",2007-08-24,0,1,0
"326",2007-08-25,0,1,0
"327",2007-08-26,0,1,0
"328",2007-08-27,0,1,0
"329",2007-08-28,0,1,0
"330",2007-08-29,0,1,0
"331",2007-08-30,0,1,0
"332",2007-08-31,0,1,0
"333",2007-09-01,0,1,0
"334",2007-09-02,0,1,0
"335",2007-09-03,0,1,0
"336",2007-09-04,244,0,1
"337",2007-09-05,156,0,1
"338",2007-09-06,110,0,1
"339",2007-09-07,174,0,1
"340",2007-09-08,0,1,0
"341",2007-09-09,0,1,0
"342",2007-09-10,0,1,0
"343",2007-09-11,94,0,1
"344",2007-09-12,0,1,0
"345",2007-09-13,0,1,0
"346",2007-09-14,0,1,0
"347",2007-09-15,0,1,0
"348",2007-09-16,0,1,0
"349",2007-09-17,0,1,0
"350",2007-09-18,90,0,1
"351",2007-09-19,8,1,0
"352",2007-09-20,0,1,0
"353",2007-09-21,0,1,0
"354",2007-09-22,0,1,0
"355",2007-09-23,0,1,0
"356",2007-09-24,0,1,0
"357",2007-09-25,0,1,0
"358",2007-09-26,0,1,0
"359",2007-09-27,0,1,0
"360",2007-09-28,0,1,0
"361",2007-09-29,0,1,0
"362",2007-09-30,0,1,0
"363",2007-10-01,0,1,0
"364",2007-10-02,0,1,0
"365",2007-10-03,0,1,0
"366",2007-10-04,0,1,0
"367",2007-10-05,0,1,0
"368",2007-10-06,0,1,0
"369",2007-10-07,0,1,0
"370",2007-10-08,0,1,0
"371",2007-10-09,0,1,0
"372",2007-10-10,0,1,0
"373",2007-10-11,0,1,0
"374",2007-10-12,0,1,0
"375",2007-10-13,0,1,0
"376",2007-10-14,0,1,0
"377",2007-10-15,0,1,0
"378",2007-10-16,0,1,0
"379",2007-10-17,0,1,0
"380",2007-10-18,88,0,1
"381",2007-10-19,136,0,1
"382",2007-10-20,124,0,1
"383",2007-10-21,108,0,1
"384",2007-10-22,2,1,0
"385",2007-10-23,0,1,0
"386",2007-10-24,0,1,0
"387",2007-10-25,0,1,0
"388",2007-10-26,0,1,0
"389",2007-10-27,0,1,0
"390",2007-10-28,0,1,0
"391",2007-10-29,0,1,0
"392",2007-10-30,0,1,0
"393",2007-10-31,0,1,0
"394",2007-11-01,0,1,0
"395",2007-11-02,0,1,0
"396",2007-11-03,0,1,0
"397",2007-11-04,0,1,0
"398",2007-11-05,0,1,0
"399",2007-11-06,130,0,1
"400",2007-11-07,30,1,0
"401",2007-11-08,0,1,0
"402",2007-11-09,30,1,0
"403",2007-11-10,16,1,0
"404",2007-11-11,72,1,0
"405",2007-11-12,206,0,1
"406",2007-11-13,12,1,0
"407",2007-11-14,86,0,1
"408",2007-11-15,168,0,1
"409",2007-11-16,20,1,0
"410",2007-11-17,0,1,0
"411",2007-11-18,0,1,0
"412",2007-11-19,0,1,0
"413",2007-11-20,0,1,0
"414",2007-11-21,0,1,0
"415",2007-11-22,0,1,0
"416",2007-11-23,0,1,0
"417",2007-11-24,0,1,0
"418",2007-11-25,0,1,0
"419",2007-11-26,120,0,1
"420",2007-11-27,0,1,0
"421",2007-11-28,0,1,0
"422",2007-11-29,0,1,0
"423",2007-11-30,0,1,0
"424",2007-12-01,0,1,0
"425",2007-12-02,0,1,0
"426",2007-12-03,0,1,0
"427",2007-12-04,56,1,0
"428",2007-12-05,0,1,0
"429",2007-12-06,0,1,0
"430",2007-12-07,0,1,0
"431",2007-12-08,74,0,1
"432",2007-12-09,0,1,0
"433",2007-12-10,0,1,0
"434",2007-12-11,142,0,1
"435",2007-12-12,110,0,1
"436",2007-12-13,2,1,0
"437",2007-12-14,0,1,0
"438",2007-12-15,0,1,0
"439",2007-12-16,0,1,0
"440",2007-12-17,0,1,0
"441",2007-12-18,0,1,0
"442",2007-12-19,0,1,0
"443",2007-12-20,0,1,0
"444",2007-12-21,0,1,0
"445",2007-12-22,0,1,0
"446",2007-12-23,0,1,0
"447",2007-12-24,0,1,0
"448",2007-12-25,0,1,0
"449",2007-12-26,0,1,0
"450",2007-12-27,0,1,0
"451",2007-12-28,0,1,0
"452",2007-12-29,0,1,0
"453",2007-12-30,0,1,0
"454",2007-12-31,0,1,0
"455",2008-01-01,0,1,0
"456",2008-01-02,0,1,0
"457",2008-01-03,0,1,0
"458",2008-01-04,0,1,0
"459",2008-01-05,0,1,0
"460",2008-01-06,0,1,0
"461",2008-01-07,0,1,0
"462",2008-01-08,0,1,0
"463",2008-01-09,0,1,0
"464",2008-01-10,0,1,0
"465",2008-01-11,0,1,0
"466",2008-01-12,0,1,0
"467",2008-01-13,0,1,0
"468",2008-01-14,0,1,0
"469",2008-01-15,0,1,0
"470",2008-01-16,0,1,0
"471",2008-01-17,0,1,0
